A,Liberal Democrats,2.31,,,,
B,No Carbon Tax Climate Sceptics,0.21,,,,
C,Democratic Labour Party (DLP),0.75,,,,
D,Senator Online (Internet Voting Bills/Issues),0.07,,,,
E,Voluntary Euthanasia Party,0,,,,
F,Independents,0,,,,
G,Help End Marijuana Prohibition (HEMP) Party,0,,,,
H,Carers Alliance,0.28,,,,
I,The Wikileaks Party,0,,,,
J,Rise Up Australia Party,0,,,,
K,Future Party,0,,,,
L,Christian Democratic Party (Fred Nile Group),1.94,,,,
M,Labor,34.54,,,,
N,Katter's Australian Party,0,,,,
O,Australian Voice,0,,,,
P,Sex Party,1.77,,,,
Q,Australian Fishing and Lifestyle Party,0,,,,
R,The Greens,9.69,,,,
S,Palmer United Party,0,,,,
T,Building Australia Party,0.26,,,,
U,Uniting Australia Party,0,,,,
V,Stop The Greens,0,,,,
W,Smokers Rights,0,,,,
X,Bullet Train For Australia,0,,,,
Y,LNP,40.95,,,,
Z,Australian Protectionist Party,0,,,,
AA,Animal Justice Party,0,,,,
AB,Australia First Party,0,,,,
AC,Australian Independents,0,,,,
AD,Drug Law Reform,0,,,,
AE,Socialist Equality Party,0.09,,,,
AF,Australian Democrats,0.68,,,,
AG,Independents,0,,,,
AH,Family First Party,0.94,,,,
AI,Stable Population Party,0,,,,
AJ,Shooters and Fishers,2.33,,,,
AK,Stop CSG,0,,,,
AL,The Australian Republicans,0,,,,
AM,Socialist Alliance,0.56,,,,
AN,Non-Custodial Parents Party (Equal Parenting),0.09,,,,
AO,Pirate Party,0,,,,
AP,Secular Party of Australia,0.1,,,,
AQ,Australian Motoring Enthusiast Party,0,,,,
AR,One Nation,3.81,,,,
